date,latitude,longitude,country,state,state_code,Search_count,location,geo_code,search_term,year,language_code
9/29/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
10/6/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
10/13/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
10/20/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
10/27/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
11/3/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
11/10/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
11/17/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
11/24/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
12/1/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
12/8/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
12/15/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
12/22/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
12/29/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,0,Canberra,AU-ACT,Cooking Fish,2024,en
12/31/2023,-35.2809,149.13,Australia,Australian Capital Territory,ACT,85,Canberra,AU-ACT,Fishing,2024,en
1/7/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,83,Canberra,AU-ACT,Fishing,2024,en
1/14/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,64,Canberra,AU-ACT,Fishing,2024,en
1/21/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,72,Canberra,AU-ACT,Fishing,2024,en
1/28/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,61,Canberra,AU-ACT,Fishing,2024,en
2/4/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,61,Canberra,AU-ACT,Fishing,2024,en
2/11/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,61,Canberra,AU-ACT,Fishing,2024,en
2/18/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,57,Canberra,AU-ACT,Fishing,2024,en
2/25/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,57,Canberra,AU-ACT,Fishing,2024,en
3/3/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,55,Canberra,AU-ACT,Fishing,2024,en
3/10/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,45,Canberra,AU-ACT,Fishing,2024,en
3/17/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,47,Canberra,AU-ACT,Fishing,2024,en
3/24/2024,-35.2809,149.13,Australia,Australian Capital Territory,ACT,56,Canberra,AU-ACT,Fishing,2024,en
