date,latitude,longitude,country,state,state_code,english_term,swedish_term,search_term_display,English Search Count,Swedish search Count,location,geo_code,year,language_code
11/24/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cleaning Fish,rensa fisk,Cleaning Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/1/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cleaning Fish,rensa fisk,Cleaning Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/8/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cleaning Fish,rensa fisk,Cleaning Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/15/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cleaning Fish,rensa fisk,Cleaning Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/22/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cleaning Fish,rensa fisk,Cleaning Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/29/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cleaning Fish,rensa fisk,Cleaning Fish,0,0,Stockholm,SE-AB,2024,bilingual
1/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
1/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
1/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
1/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
2/4/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
2/11/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
2/18/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
2/25/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
3/3/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
3/10/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
3/17/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
3/24/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
3/31/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
4/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
4/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
4/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
4/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
5/5/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
5/12/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
5/19/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
5/26/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
6/2/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
6/9/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
6/16/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
6/23/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
6/30/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
7/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
7/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
7/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
7/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
8/4/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
8/11/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
8/18/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
8/25/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
9/1/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
9/8/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
9/15/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
9/22/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
9/29/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
10/6/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
10/13/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
10/20/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
10/27/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
11/3/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
11/10/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
11/17/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
11/24/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/1/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/8/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/15/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/22/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/29/2024,59.3293,18.0686,Sweden,Stockholm,AB,Cooking Fish,laga fisk,Cooking Fish,0,0,Stockholm,SE-AB,2024,bilingual
12/31/2023,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,30,17,Stockholm,SE-AB,2024,bilingual
1/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,29,19,Stockholm,SE-AB,2024,bilingual
1/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,22,22,Stockholm,SE-AB,2024,bilingual
1/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,20,24,Stockholm,SE-AB,2024,bilingual
1/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,23,24,Stockholm,SE-AB,2024,bilingual
2/4/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,22,21,Stockholm,SE-AB,2024,bilingual
2/11/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,29,25,Stockholm,SE-AB,2024,bilingual
2/18/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,24,26,Stockholm,SE-AB,2024,bilingual
2/25/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,30,21,Stockholm,SE-AB,2024,bilingual
3/3/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,24,24,Stockholm,SE-AB,2024,bilingual
3/10/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,22,24,Stockholm,SE-AB,2024,bilingual
3/17/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,27,21,Stockholm,SE-AB,2024,bilingual
3/24/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,24,35,Stockholm,SE-AB,2024,bilingual
3/31/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,31,31,Stockholm,SE-AB,2024,bilingual
4/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,22,33,Stockholm,SE-AB,2024,bilingual
4/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,24,35,Stockholm,SE-AB,2024,bilingual
4/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,30,34,Stockholm,SE-AB,2024,bilingual
4/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,29,37,Stockholm,SE-AB,2024,bilingual
5/5/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,26,48,Stockholm,SE-AB,2024,bilingual
5/12/2024,59.3293,18.0686,Sweden,Stockholm,AB,Fishing,fiske,Fishing,31,44,Stockholm,SE-AB,2024,bilingual
