date,latitude,longitude,country,state,state_code,english_term,swedish_term,search_term_display,English Search Count,Swedish search Count,location,geo_code,year,language_code
4/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
4/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
4/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
4/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
5/5/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
5/12/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
5/19/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
5/26/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
6/2/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
6/9/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
6/16/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
6/23/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
6/30/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
7/7/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
7/14/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
7/21/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
7/28/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
8/4/2024,59.3293,18.0686,Sweden,Stockholm,AB,Bass Fishing,abborre fiske,Bass Fishing,0,0,Stockholm,SE-AB,2024,bilingual
