date,latitude,longitude,country,Search Count,location,geo_code,search_term,year,language_code
12/15/2024,52.486243,-1.890401,United Kingdom,12,Birmingham,GB-ENG,Cooking Fish,2024,en
12/22/2024,52.486243,-1.890401,United Kingdom,10,Birmingham,GB-ENG,Cooking Fish,2024,en
12/29/2024,52.486243,-1.890401,United Kingdom,13,Birmingham,GB-ENG,Cooking Fish,2024,en
12/31/2023,52.486243,-1.890401,United Kingdom,62,Birmingham,GB-ENG,Fishing,2024,en
1/7/2024,52.486243,-1.890401,United Kingdom,58,Birmingham,GB-ENG,Fishing,2024,en
1/14/2024,52.486243,-1.890401,United Kingdom,56,Birmingham,GB-ENG,Fishing,2024,en
1/21/2024,52.486243,-1.890401,United Kingdom,55,Birmingham,GB-ENG,Fishing,2024,en
1/28/2024,52.486243,-1.890401,United Kingdom,55,Birmingham,GB-ENG,Fishing,2024,en
2/4/2024,52.486243,-1.890401,United Kingdom,56,Birmingham,GB-ENG,Fishing,2024,en
2/11/2024,52.486243,-1.890401,United Kingdom,60,Birmingham,GB-ENG,Fishing,2024,en
2/18/2024,52.486243,-1.890401,United Kingdom,57,Birmingham,GB-ENG,Fishing,2024,en
2/25/2024,52.486243,-1.890401,United Kingdom,60,Birmingham,GB-ENG,Fishing,2024,en
3/3/2024,52.486243,-1.890401,United Kingdom,59,Birmingham,GB-ENG,Fishing,2024,en
3/10/2024,52.486243,-1.890401,United Kingdom,59,Birmingham,GB-ENG,Fishing,2024,en
3/17/2024,52.486243,-1.890401,United Kingdom,70,Birmingham,GB-ENG,Fishing,2024,en
3/24/2024,52.486243,-1.890401,United Kingdom,73,Birmingham,GB-ENG,Fishing,2024,en
3/31/2024,52.486243,-1.890401,United Kingdom,75,Birmingham,GB-ENG,Fishing,2024,en
4/7/2024,52.486243,-1.890401,United Kingdom,69,Birmingham,GB-ENG,Fishing,2024,en
4/14/2024,52.486243,-1.890401,United Kingdom,70,Birmingham,GB-ENG,Fishing,2024,en
4/21/2024,52.486243,-1.890401,United Kingdom,71,Birmingham,GB-ENG,Fishing,2024,en
4/28/2024,52.486243,-1.890401,United Kingdom,75,Birmingham,GB-ENG,Fishing,2024,en
5/5/2024,52.486243,-1.890401,United Kingdom,73,Birmingham,GB-ENG,Fishing,2024,en
5/12/2024,52.486243,-1.890401,United Kingdom,74,Birmingham,GB-ENG,Fishing,2024,en
5/19/2024,52.486243,-1.890401,United Kingdom,79,Birmingham,GB-ENG,Fishing,2024,en
5/26/2024,52.486243,-1.890401,United Kingdom,90,Birmingham,GB-ENG,Fishing,2024,en
6/2/2024,52.486243,-1.890401,United Kingdom,84,Birmingham,GB-ENG,Fishing,2024,en
6/9/2024,52.486243,-1.890401,United Kingdom,85,Birmingham,GB-ENG,Fishing,2024,en
6/16/2024,52.486243,-1.890401,United Kingdom,86,Birmingham,GB-ENG,Fishing,2024,en
6/23/2024,52.486243,-1.890401,United Kingdom,87,Birmingham,GB-ENG,Fishing,2024,en
